n,count(*)
{name:Lattice problem},19
{name:Cryptosystem},15
{name:Public-key cryptography},13
"{name:Best, worst and average case}",12
{name:Time complexity},11
{name:Algorithm},9
{name:Approximation algorithm},8
{name:Encryption},8
{name:Polynomial},7
{name:NTRU},7
{name:Lattice reduction},6
{name:Security parameter},5
{name:Trapdoor function},5
{name:Learning with errors},5
{name:One-way function},5
{name:NP-hardness},4
{name:Randomized algorithm},4
{name:Computation},4
{name:Digital signature},4
{name:Requirement},4
{name:Arjen Lenstra},3
{name:Co-NP},3
{name:Worst-case complexity},3
{name:Approximation},3
{name:Key size},3
{name:Symposium on Theory of Computing},3
{name:Ciphertext},3
{name:Computational complexity theory},3
{name:Adaptive chosen-ciphertext attack},3
{name:Provable security},3
{name:Ideal lattice cryptography},3
{name:NTRUEncrypt},3
{name:Lattice-based cryptography},2
{name:Lenstra–Lenstra–Lovász lattice basis reduction algorithm},2
{name:Arthur–Merlin protocol},2
{name:Mathematical optimization},2
{name:Jeffrey Lagarias},2
{name:Zero-knowledge proof},2
{name:Computational number theory},2
{name:Schmidt decomposition},2
{name:Oblivious transfer},2
{name:Decisional Diffie–Hellman assumption},2
{name:Amortized analysis},2
{name:Diffie–Hellman key exchange},2
{name:Cryptography},2
{name:Hash function},2
{name:Randomness},2
{name:ID-based encryption},2
{name:Sampling (signal processing)},2
{name:Average-case complexity},2
{name:PP (complexity)},2
{name:Computable function},2
{name:Cryptanalysis},2
{name:Antivirus software},2
{name:Cynthia Dwork},2
{name:While},2
{name:Decision problem},2
{name:Linear algebra},2
{name:Preprocessor},2
{name:Random oracle},2
{name:RSA (cryptosystem)},2
{name:Polynomial ring},2
{name:NP-completeness},2
{name:Theory},1
{name:Interactive proof system},1
{name:Combinatorica},1
{name:NP (complexity)},1
{name:CNS disorder},1
{name:Arabic numeral 0},1
{name:Short},1
{name:chlorite oxidized oxyamylose},1
{name:Integer (number)},1
{name:Theoretical computer science},1
{name:Euclid},1
{name:Social inequality},1
{name:Terminate (software)},1
{name:Control theory},1
{name:Integer (computer science)},1
{name:Post-quantum cryptography},1
{name:Benchmark (computing)},1
{name:Code},1
{name:Ciphertext expansion},1
{name:DSPACE},1
{name:Quadratic residue},1
{name:Linear function},1
{name:Lossy compression},1
{name:Integer factorization},1
{name:Cryptographic primitive},1
{name:Collision resistance},1
{name:Black box},1
{name:SWIFFT},1
{name:Fast Fourier transform},1
{name:Concrete security},1
{name:Microprocessor},1
{name:Throughput},1
{name:Parallel computing},1
{name:SHA-2},1
{name:Merge sort},1
{name:SIAM Journal on Computing},1
{name:Lattice constant},1
{name:Linear equation},1
{name:Whole Earth 'Lectronic Link},1
{name:Knapsack problem},1
{name:Coefficient},1
{name:Norm (social)},1
{name:Game design document},1
{name:Proof calculus},1
{name:The Witness},1
{name:Subset sum problem},1
{name:P (complexity)},1
{name:Emoticon},1
{name:Binary prefix},1
{name:Electronic signature},1
{name:Access control},1
{name:Eurocrypt},1
{name:Correlation attack},1
{name:Key (cryptography)},1
{name:Key generation},1
{name:Quantum computing},1
{name:Bit-length},1
{name:Quantum algorithm},1
{name:Meet-in-the-middle attack},1
{name:Extrapolation},1
{name:Ternary numeral system},1
{name:Verification and validation},1
{name:Imperative programming},1
{name:Triune continuum paradigm},1
{name:Discriminant},1
{name:Linear code},1
{name:Parity bit},1
{name:Bit array},1
{name:Padding (cryptography)},1
{name:Semantic security},1
{name:Ciphertext indistinguishability},1
{name:Beta normal form},1
{name:Computer security},1
{name:Database normalization},1
{name:Adversary (cryptography)},1
{name:Lattice model (finance)},1
{name:Mixing (mathematics)},1
{name:Modulo operation},1
{name:Cluster analysis},1
{name:Payment Card Industry Data Security Standard},1
{name:DSS brand of docusate sodium},1
{name:Turing completeness},1
{name:Knowledge base},1
{name:Artificial intelligence},1
{name:Formal grammar},1
{name:Logic programming},1
{name:Propositional variable},1
{name:Rule-based system},1
{name:Horn clause},1
{name:Many-one reduction},1
{name:Turing machine},1
{name:T-norm},1
{name:Gadu-Gadu},1
{name:Secure cryptoprocessor},1
{name:Twiddle factor},1
{name:Convolution},1
{name:Central processing unit},1
{name:Virtex (FPGA)},1
{name:Field-programmable gate array},1
